BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
0,1019.3,557,0,1,0.0150878,0.011872,0.00321586,0.00814294,0.240462,0.0172408,1.38622
0,1019.3,557,0,2,0.346176,0.325399,0.0207774,0.0506284,0.989553,0.00582843,0.336852
0.1,1019.3,557,0,1,0.0150455,0.0118314,0.00321409,0.00813988,0.240448,0.0172629,1.3863
0.1,1019.3,557,0,2,0.344201,0.323048,0.0211527,0.051622,0.987245,0.00580838,0.33764
0.5,1019.3,557,0,1,0.0148718,0.0116523,0.00321953,0.00816433,0.24037,0.0173138,1.38675
0.5,1019.3,557,0,2,0.337049,0.313439,0.0236099,0.058336,0.979667,0.00573584,0.340252
1,1019.3,557,0,1,0.0146538,0.0114288,0.00322496,0.00819133,0.240235,0.0173576,1.38753
1,1019.3,557,0,2,0.327169,0.300201,0.0269673,0.0674647,0.97084,0.00562551,0.343345
1.5,1019.3,557,0,1,0.0144451,0.0112182,0.00322695,0.00820885,0.240064,0.017383,1.38852
1.5,1019.3,557,0,2,0.317019,0.286717,0.0303023,0.0764992,0.963243,0.00550304,0.346053
2,1019.3,557,0,1,0.0142511,0.0110247,0.00322639,0.0082193,0.239866,0.0173924,1.38967
2,1019.3,557,0,2,0.30736,0.273886,0.033474,0.0850886,0.956979,0.00538026,0.348318
2.5,1019.3,557,0,1,0.0140683,0.0108445,0.00322379,0.00822403,0.239646,0.0173894,1.39094
2.5,1019.3,557,0,2,0.298124,0.261629,0.0364946,0.0932624,0.951647,0.00525794,0.35027
3,1019.3,557,0,1,0.0138958,0.0106764,0.00321937,0.00822369,0.239406,0.0173753,1.39233
3,1019.3,557,0,2,0.289197,0.249815,0.0393816,0.101064,0.947043,0.00513524,0.351973
3.5,1019.3,557,0,1,0.0137322,0.010519,0.00321323,0.00821845,0.23915,0.0173516,1.39383
3.5,1019.3,557,0,2,0.280515,0.23837,0.0421451,0.10852,0.943052,0.00501183,0.353462
4,1019.3,557,0,1,0.0135758,0.0103705,0.00320532,0.00820816,0.238879,0.0173197,1.39541
4,1019.3,557,0,2,0.272019,0.227228,0.0447905,0.115644,0.93961,0.0048872,0.354757
4.5,1019.3,557,0,1,0.0134259,0.0102299,0.00319601,0.00819384,0.238596,0.0172802,1.39706
4.5,1019.3,557,0,2,0.263677,0.216351,0.0473268,0.122461,0.936643,0.00476129,0.355881
5,1019.3,557,0,1,0.0132826,0.0100973,0.00318539,0.00817576,0.238299,0.0172327,1.3988
5,1019.3,557,0,2,0.255441,0.20568,0.0497605,0.128986,0.934109,0.00463365,0.356846
5.5,1019.3,557,0,1,0.0131457,0.00997224,0.00317347,0.00815401,0.237991,0.0171772,1.40062
5.5,1019.3,557,0,2,0.247268,0.195169,0.0520989,0.135239,0.931976,0.00450389,0.357663
6,1019.3,557,0,1,0.0130147,0.00985444,0.0031603,0.0081287,0.237669,0.0171136,1.40251
6,1019.3,557,0,2,0.239128,0.184781,0.0543471,0.141234,0.93022,0.00437176,0.358338
6.5,1019.3,557,0,1,0.0128892,0.0097433,0.00314591,0.00809993,0.237335,0.0170416,1.40448
6.5,1019.3,557,0,2,0.230991,0.17448,0.0565108,0.146985,0.928827,0.004237,0.358876
7,1019.3,557,0,1,0.0127688,0.00963849,0.00313032,0.00806773,0.236987,0.016961,1.40654
7,1019.3,557,0,2,0.222837,0.164243,0.0585945,0.152503,0.927794,0.00409954,0.359275
7.5,1019.3,557,0,1,0.0126531,0.00953959,0.00311355,0.00803225,0.236625,0.0168715,1.4087
7.5,1019.3,557,0,2,0.214659,0.154056,0.0606027,0.157801,0.927132,0.00395948,0.359532
8,1019.3,557,0,1,0.0125421,0.00944652,0.0030956,0.00799343,0.236248,0.0167728,1.41094
8,1019.3,557,0,2,0.206471,0.143932,0.062539,0.162889,0.926865,0.00381735,0.359635
8.5,1019.3,557,0,1,0.0124359,0.00935938,0.00307649,0.00795135,0.235858,0.0166652,1.41328
8.5,1019.3,557,0,2,0.198332,0.13393,0.0644023,0.167763,0.927016,0.00367444,0.359577
9,1019.3,557,0,1,0.0123348,0.00927848,0.00305635,0.00790638,0.235455,0.0165498,1.4157
9,1019.3,557,0,2,0.190337,0.12415,0.0661866,0.172413,0.9276,0.00353272,0.35935
9.5,1019.3,557,0,1,0.0122397,0.00920428,0.00303541,0.00785907,0.235047,0.0164287,1.41815
9.5,1019.3,557,0,2,0.182621,0.114745,0.0678765,0.176803,0.928597,0.003395,0.358964
10,1019.3,557,0,1,0.0121517,0.00913784,0.0030139,0.00781004,0.234641,0.0163047,1.42061
10,1019.3,557,0,2,0.17533,0.105878,0.0694518,0.180886,0.929935,0.00326412,0.358448
10.5,1019.3,557,0,1,0.0120718,0.0090797,0.00299207,0.00775989,0.234246,0.016181,1.42301
10.5,1019.3,557,0,2,0.168565,0.0976743,0.0708906,0.184612,0.931527,0.00314227,0.357835
11,1019.3,557,0,1,0.0120006,0.00903042,0.00297017,0.00770931,0.23387,0.016061,1.4253
11,1019.3,557,0,2,0.162418,0.0902424,0.0721759,0.187943,0.933259,0.00303107,0.357171
11.5,1019.3,557,0,1,0.0119392,0.00899083,0.00294842,0.00765883,0.23352,0.0159471,1.42743
11.5,1019.3,557,0,2,0.156928,0.083633,0.0732955,0.190851,0.93503,0.00293158,0.356495
12,1019.3,557,0,1,0.0118879,0.00896085,0.00292703,0.00760904,0.233202,0.0158418,1.42938
12,1019.3,557,0,2,0.152113,0.0778714,0.0742421,0.193322,0.936751,0.00284419,0.35584
12.5,1019.3,557,0,1,0.0118465,0.00894029,0.00290618,0.00756038,0.23292,0.0157469,1.43111
12.5,1019.3,557,0,2,0.147969,0.0729541,0.0750147,0.195355,0.938352,0.0027688,0.355233
13,1019.3,557,0,1,0.0118146,0.00892868,0.00288595,0.00751311,0.232677,0.0156634,1.4326
13,1019.3,557,0,2,0.144461,0.0688434,0.0756176,0.196961,0.939787,0.00270487,0.35469
13.5,1019.3,557,0,1,0.0117917,0.00892533,0.00286639,0.00746735,0.232472,0.0155915,1.43387
13.5,1019.3,557,0,2,0.141535,0.0654741,0.0760612,0.198169,0.941036,0.00265144,0.35422
14,1019.3,557,0,1,0.0117767,0.00892922,0.0028475,0.00742312,0.232302,0.0155308,1.43492
14,1019.3,557,0,2,0.139119,0.0627578,0.0763611,0.199017,0.9421,0.00260721,0.353819
14.5,1019.3,557,0,1,0.0117687,0.00893942,0.00282925,0.0073804,0.232164,0.0154802,1.43577
14.5,1019.3,557,0,2,0.137143,0.0606081,0.076535,0.199549,0.942987,0.00257094,0.353487
15,1019.3,557,0,1,0.0117664,0.00895483,0.00281158,0.00733899,0.232054,0.0154389,1.43645
