BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),assembly
0,1019.3,557,200,2,0.0732723,0.0262119,0.0470604,0.114672,0.918622,0.00148985,0.362862,1
0.1,1019.3,557,200,1,0.00892396,0.00663718,0.00228677,0.00586652,0.236894,0.0174851,1.4071,1
0.1,1019.3,557,200,2,0.0755191,0.0289072,0.0466118,0.113632,0.917785,0.00153063,0.363193,1
0.5,1019.3,557,200,1,0.008938,0.00666283,0.00227517,0.00584434,0.236915,0.0175037,1.40698,1
0.5,1019.3,557,200,2,0.0767026,0.0299153,0.0467873,0.114527,0.919073,0.00155148,0.362684,1
1,1019.3,557,200,1,0.00896108,0.00670069,0.00226039,0.0058161,0.23689,0.0174969,1.40712,1
1,1019.3,557,200,2,0.0777993,0.0307133,0.047086,0.115838,0.920761,0.00157046,0.362019,1
2,1019.3,557,200,1,0.00903255,0.00680351,0.00222904,0.00575377,0.23685,0.0174626,1.40736,1
2,1019.3,557,200,2,0.0795613,0.0320423,0.0475189,0.117938,0.923762,0.00160031,0.360843,1
3,1019.3,557,200,1,0.00912623,0.0069289,0.00219733,0.0056893,0.236828,0.0174154,1.40749,1
3,1019.3,557,200,2,0.0810234,0.0332331,0.0477902,0.119525,0.926356,0.00162448,0.359833,1
4,1019.3,557,200,1,0.00922839,0.00706296,0.00216544,0.00562335,0.236814,0.0173636,1.40757,1
4,1019.3,557,200,2,0.0822254,0.0342955,0.0479299,0.120694,0.928618,0.00164382,0.358956,1
5,1019.3,557,200,1,0.00933395,0.00719906,0.00213489,0.00555987,0.236803,0.0173099,1.40764,1
5,1019.3,557,200,2,0.0832204,0.0352538,0.0479666,0.121533,0.930609,0.00165934,0.358188,1
6,1019.3,557,200,1,0.00943861,0.00733322,0.00210539,0.00549834,0.236793,0.0172573,1.4077,1
6,1019.3,557,200,2,0.0840465,0.0361258,0.0479207,0.122103,0.932374,0.0016718,0.35751,1
7,1019.3,557,200,1,0.00953999,0.00746323,0.00207675,0.00543828,0.236782,0.0172074,1.40776,1
7,1019.3,557,200,2,0.0847321,0.0369246,0.0478075,0.122452,0.93395,0.00168172,0.356907,1
8,1019.3,557,200,1,0.00963698,0.00758797,0.00204901,0.00537986,0.236771,0.0171607,1.40783,1
8,1019.3,557,200,2,0.0852991,0.0376604,0.0476387,0.122616,0.935364,0.00168952,0.356367,1
9,1019.3,557,200,1,0.00972936,0.00770728,0.00202208,0.00532292,0.236758,0.0171175,1.40791,1
9,1019.3,557,200,2,0.0857638,0.0383409,0.0474229,0.12262,0.93664,0.0016955,0.355882,1
10,1019.3,557,200,1,0.00981704,0.00782117,0.00199586,0.00526722,0.236745,0.0170777,1.40799,1
10,1019.3,557,200,2,0.0861401,0.0389725,0.0471676,0.122489,0.937795,0.00169992,0.355444,1
11,1019.3,557,200,1,0.0099004,0.00792994,0.00197046,0.00521307,0.23673,0.017041,1.40807,1
11,1019.3,557,200,2,0.0864395,0.0395606,0.0468789,0.12224,0.938846,0.00170297,0.355046,1
12.5,1019.3,557,200,1,0.0100174,0.0080835,0.0019339,0.00513492,0.236707,0.0169917,1.40821,1
12.5,1019.3,557,200,2,0.0867619,0.0403692,0.0463926,0.121677,0.940243,0.00170534,0.354518,1
15,1019.3,557,200,1,0.0101947,0.00831794,0.00187673,0.00501216,0.236664,0.0169221,1.40847,1
15,1019.3,557,200,2,0.0870383,0.0415557,0.0454826,0.120357,0.942191,0.00170478,0.353785,1
