BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
0,1019.3,557,0,1,0.0096869,0.00668967,0.00299722,0.00760822,0.234871,0.0162609,1.41922
0,1019.3,557,0,2,0.0947926,0.026935,0.0678576,0.165349,0.917804,0.00188094,0.363186
0.1,1019.3,557,0,1,0.00972359,0.00672356,0.00300003,0.00761491,0.235174,0.0163762,1.41739
0.1,1019.3,557,0,2,0.0973936,0.0302541,0.0671395,0.163641,0.916965,0.00192786,0.363518
0.5,1019.3,557,0,1,0.009735,0.00674712,0.00298788,0.00758993,0.235215,0.0164004,1.41714
0.5,1019.3,557,0,2,0.0984369,0.0313067,0.0671302,0.163998,0.917996,0.00194583,0.36311
1,1019.3,557,0,1,0.00974968,0.00677779,0.00297189,0.007557,0.23522,0.0164078,1.41711
1,1019.3,557,0,2,0.0993413,0.0321008,0.0672406,0.164751,0.919391,0.001961,0.362559
2,1019.3,557,0,1,0.00979152,0.00685345,0.00293807,0.00748592,0.235212,0.016402,1.41716
2,1019.3,557,0,2,0.100699,0.0332866,0.067412,0.166067,0.921981,0.00198309,0.36154
3,1019.3,557,0,1,0.00984775,0.00694435,0.0029034,0.007412,0.23521,0.0163852,1.41717
3,1019.3,557,0,2,0.101829,0.034345,0.0674838,0.167063,0.924301,0.00200106,0.360633
4,1019.3,557,0,1,0.00991214,0.00704364,0.00286849,0.00733688,0.235212,0.0163627,1.41716
4,1019.3,557,0,2,0.102778,0.0353116,0.0674659,0.167777,0.926386,0.00201576,0.359821
5,1019.3,557,0,1,0.0099813,0.00714762,0.00283368,0.00726147,0.235216,0.0163367,1.41714
5,1019.3,557,0,2,0.103574,0.036201,0.0673733,0.168252,0.92827,0.00202773,0.359091
6,1019.3,557,0,1,0.0100527,0.00725346,0.00279921,0.00718648,0.235221,0.0163089,1.41711
6,1019.3,557,0,2,0.104241,0.0370238,0.0672171,0.168524,0.929982,0.00203737,0.35843
7,1019.3,557,0,1,0.0101243,0.00735912,0.00276522,0.00711232,0.235224,0.0162806,1.41709
7,1019.3,557,0,2,0.104795,0.0377889,0.0670064,0.168622,0.931545,0.00204502,0.357828
8,1019.3,557,0,1,0.0101943,0.00746311,0.00273123,0.00703779,0.235227,0.0162533,1.41707
8,1019.3,557,0,2,0.105252,0.0385031,0.0667484,0.168566,0.932977,0.00205094,0.357279
9,1019.3,557,0,1,0.0102619,0.00756465,0.00269721,0.00696285,0.235229,0.0162277,1.41706
9,1019.3,557,0,2,0.105621,0.0391718,0.0664491,0.168376,0.934293,0.00205534,0.356776
10,1019.3,557,0,1,0.0103264,0.00766322,0.00266315,0.00688751,0.235231,0.0162041,1.41705
10,1019.3,557,0,2,0.105913,0.0397997,0.0661132,0.168066,0.935506,0.00205838,0.356313
11,1019.3,557,0,1,0.0103883,0.0077589,0.00262943,0.00681269,0.235232,0.016182,1.41704
11,1019.3,557,0,2,0.106135,0.0403905,0.0657449,0.167648,0.936627,0.00206021,0.355887
12.5,1019.3,557,0,1,0.0104772,0.00789707,0.0025801,0.00670299,0.23523,0.0161518,1.41705
12.5,1019.3,557,0,2,0.106355,0.0412169,0.0651379,0.166839,0.93815,0.00206097,0.355309
15,1019.3,557,0,1,0.0106124,0.00811133,0.00250108,0.00652685,0.235221,0.0161097,1.41711
15,1019.3,557,0,2,0.106464,0.0424535,0.0640103,0.165095,0.940336,0.00205782,0.354483
17.5,1019.3,557,0,1,0.0107372,0.00831201,0.00242516,0.00635681,0.235207,0.0160745,1.41719
17.5,1019.3,557,0,2,0.106301,0.0435357,0.0627651,0.162937,0.942191,0.00204985,0.353785
20,1019.3,557,0,1,0.0108517,0.00849969,0.00235197,0.00619203,0.235189,0.0160468,1.4173
20,1019.3,557,0,2,0.105911,0.0444877,0.0614236,0.160432,0.943762,0.0020379,0.353196
22.5,1019.3,557,0,1,0.0109577,0.00867525,0.00228246,0.0060349,0.235168,0.0160249,1.41743
22.5,1019.3,557,0,2,0.105336,0.0453277,0.0600079,0.157646,0.945102,0.0020227,0.352696
25,1019.3,557,0,1,0.0110575,0.00884165,0.00221588,0.00588359,0.235144,0.0160078,1.41757
