BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
0,1019.3,557,0,1,0.00881885,0.0065347,0.00228415,0.00586056,0.236306,0.0172913,1.4106
0,1019.3,557,0,2,0.0713582,0.0241484,0.0472098,0.115036,0.919449,0.00145724,0.362536
0.1,1019.3,557,0,1,0.00885401,0.00657003,0.00228398,0.00586017,0.236633,0.0174221,1.40865
0.1,1019.3,557,0,2,0.0736065,0.026849,0.0467574,0.113986,0.918597,0.00149801,0.362872
0.5,1019.3,557,0,1,0.008868,0.00659573,0.00227228,0.00583763,0.236659,0.0174428,1.4085
0.5,1019.3,557,0,2,0.0747603,0.027846,0.0469143,0.114828,0.919861,0.00151833,0.362374
1,1019.3,557,0,1,0.00889075,0.00663341,0.00225734,0.00580887,0.236638,0.017438,1.40862
1,1019.3,557,0,2,0.075819,0.0286288,0.0471903,0.116075,0.921521,0.00153663,0.361721
2,1019.3,557,0,1,0.00896117,0.00673547,0.0022257,0.00574559,0.236605,0.0174074,1.40882
2,1019.3,557,0,2,0.0775142,0.0299318,0.0475824,0.118059,0.924477,0.0015653,0.360564
3,1019.3,557,0,1,0.00905365,0.00685997,0.00219368,0.0056801,0.236589,0.0173637,1.40891
3,1019.3,557,0,2,0.0789148,0.0310986,0.0478162,0.119541,0.927037,0.00158839,0.359568
4,1019.3,557,0,1,0.00915472,0.00699329,0.00216144,0.0056131,0.236581,0.0173149,1.40896
4,1019.3,557,0,2,0.0800602,0.0321394,0.0479208,0.120613,0.929272,0.00160673,0.358704
5,1019.3,557,0,1,0.00925934,0.00712883,0.00213051,0.0055485,0.236575,0.0172639,1.409
5,1019.3,557,0,2,0.0810021,0.0330778,0.0479244,0.121359,0.931241,0.00162132,0.357945
6,1019.3,557,0,1,0.0093632,0.00726259,0.00210061,0.00548577,0.236569,0.0172137,1.40903
6,1019.3,557,0,2,0.081778,0.0339314,0.0478466,0.121842,0.932988,0.0016329,0.357275
7,1019.3,557,0,1,0.00946391,0.00739235,0.00207157,0.00542454,0.236563,0.0171659,1.40907
7,1019.3,557,0,2,0.0824158,0.0347131,0.0477027,0.122107,0.934549,0.00164198,0.356678
8,1019.3,557,0,1,0.00956041,0.00751701,0.00204339,0.0053649,0.236556,0.0171212,1.40911
8,1019.3,557,0,2,0.0829362,0.0354325,0.0475037,0.122187,0.935951,0.00164895,0.356144
9,1019.3,557,0,1,0.00965238,0.00763632,0.00201606,0.00530682,0.236547,0.0170797,1.40916
9,1019.3,557,0,2,0.083356,0.0360975,0.0472586,0.122112,0.937217,0.00165414,0.355663
10,1019.3,557,0,1,0.00973969,0.00775026,0.00198943,0.00524993,0.236537,0.0170415,1.40922
10,1019.3,557,0,2,0.0836888,0.0367143,0.0469746,0.121903,0.938364,0.00165778,0.355228
11,1019.3,557,0,1,0.00982271,0.00785913,0.00196358,0.00519453,0.236526,0.0170064,1.40929
11,1019.3,557,0,2,0.0839457,0.0372881,0.0466576,0.121577,0.939407,0.00166008,0.354834
12.5,1019.3,557,0,1,0.00993926,0.0080129,0.00192636,0.00511453,0.236508,0.0169593,1.40939
12.5,1019.3,557,0,2,0.0842077,0.0380772,0.0461304,0.120903,0.940796,0.00166138,0.35431
15,1019.3,557,0,1,0.0101159,0.0082478,0.0018681,0.00498874,0.236473,0.0168931,1.40961
15,1019.3,557,0,2,0.0843892,0.0392338,0.0451553,0.119407,0.942736,0.00165912,0.353581
