BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
0.0,1019.3,557.0,0.0,1,0.0103512,0.00710068,0.00325049,0.00822543,0.23566,0.0162906,1.41447
0.0,1019.3,557.0,0.0,2,0.114597,0.0432331,0.0713636,0.173892,0.923376,0.0021996,0.360994
0.1,1019.3,557.0,0.0,1,0.0103823,0.00712943,0.00325287,0.00823125,0.235908,0.0163866,1.41298
0.1,1019.3,557.0,0.0,2,0.117192,0.046599,0.070593,0.172058,0.922482,0.00224702,0.361344
0.5,1019.3,557.0,0.0,1,0.0103824,0.00714225,0.00324013,0.00820505,0.235913,0.0164037,1.41295
0.5,1019.3,557.0,0.0,2,0.11809,0.0474506,0.0706391,0.17256,0.923159,0.00226406,0.361079
1.0,1019.3,557.0,0.0,1,0.0103815,0.00715826,0.00322329,0.00817032,0.235877,0.0164049,1.41316
1.0,1019.3,557.0,0.0,2,0.118771,0.0479323,0.0708383,0.173544,0.924071,0.00227745,0.360723
1.5,1019.3,557.0,0.0,1,0.0103842,0.00717838,0.00320579,0.00813378,0.23583,0.0163971,1.41345
1.5,1019.3,557.0,0.0,2,0.119218,0.0481748,0.0710432,0.174518,0.924938,0.00228651,0.360384
2.0,1019.3,557.0,0.0,1,0.0103908,0.0072028,0.00318795,0.00809613,0.235782,0.0163851,1.41374
2.0,1019.3,557.0,0.0,2,0.119555,0.0483275,0.0712277,0.175421,0.925762,0.00229346,0.360064
2.5,1019.3,557.0,0.0,1,0.0104006,0.00723059,0.00317,0.008058,0.235734,0.0163701,1.41402
2.5,1019.3,557.0,0.0,2,0.119813,0.0484239,0.0713896,0.176249,0.926538,0.00229888,0.359762
3.0,1019.3,557.0,0.0,1,0.010413,0.00726104,0.00315196,0.00801948,0.235687,0.0163528,1.4143
3.0,1019.3,557.0,0.0,2,0.120003,0.0484723,0.0715307,0.177007,0.927268,0.00230297,0.359479
3.5,1019.3,557.0,0.0,1,0.0104271,0.00729333,0.00313381,0.00798054,0.23564,0.0163338,1.41459
3.5,1019.3,557.0,0.0,2,0.12013,0.0484771,0.071653,0.177703,0.927959,0.00230586,0.359211
4.0,1019.3,557.0,0.0,1,0.0104429,0.0073273,0.0031156,0.00794128,0.235593,0.0163133,1.41487
4.0,1019.3,557.0,0.0,2,0.1202,0.0484417,0.0717582,0.178341,0.928612,0.00230764,0.358958
4.5,1019.3,557.0,0.0,1,0.0104598,0.00736247,0.00309737,0.00790183,0.235546,0.0162914,1.41515
4.5,1019.3,557.0,0.0,2,0.120215,0.0483675,0.0718478,0.178927,0.929234,0.00230834,0.358718
5.0,1019.3,557.0,0.0,1,0.0104775,0.00739838,0.00307913,0.00786223,0.235498,0.0162686,1.41544
5.0,1019.3,557.0,0.0,2,0.120179,0.0482555,0.071923,0.179465,0.929825,0.00230804,0.35849
