BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
35.0,1242.0,557.0,0.0,1,0.0113352,0.00981691,0.0015183,0.00421456,0.236732,0.016525,1.40806
35.0,1242.0,557.0,0.0,2,0.0818654,0.0449744,0.036891,0.1029,0.951327,0.00167897,0.350388
37.5,1242.0,557.0,0.0,1,0.0114355,0.00994409,0.00149138,0.00415315,0.236647,0.016498,1.40857
37.5,1242.0,557.0,0.0,2,0.0814823,0.0453831,0.0360992,0.101122,0.951675,0.00166717,0.35026
40.0,1242.0,557.0,0.0,1,0.0115313,0.0100641,0.00146722,0.00409792,0.236555,0.0164711,1.40911
40.0,1242.0,557.0,0.0,2,0.0811369,0.0457602,0.0353767,0.0994855,0.951958,0.00165633,0.350156
42.5,1242.0,557.0,0.0,1,0.011623,0.0101774,0.00144562,0.00404845,0.236457,0.0164439,1.4097
42.5,1242.0,557.0,0.0,2,0.0808368,0.0461114,0.0347254,0.0980008,0.952184,0.0016466,0.350072
45.0,1242.0,557.0,0.0,1,0.0117109,0.0102844,0.00142649,0.00400461,0.236352,0.0164161,1.41032
45.0,1242.0,557.0,0.0,2,0.0805865,0.046441,0.0341455,0.0966737,0.952362,0.00163806,0.350007
47.5,1242.0,557.0,0.0,1,0.0117951,0.0103854,0.00140969,0.00396617,0.236241,0.0163876,1.41099
47.5,1242.0,557.0,0.0,2,0.0803883,0.0467529,0.0336354,0.0955045,0.952498,0.00163074,0.349957
50.0,1242.0,557.0,0.0,1,0.011876,0.0104809,0.00139505,0.00393276,0.236124,0.0163581,1.41169
50.0,1242.0,557.0,0.0,2,0.0802421,0.0470501,0.033192,0.0944896,0.952598,0.00162463,0.34992
52.5,1242.0,557.0,0.0,1,0.0119536,0.0105712,0.00138235,0.00390392,0.236001,0.0163277,1.41243
52.5,1242.0,557.0,0.0,2,0.0801464,0.0473349,0.0328115,0.0936218,0.952667,0.00161968,0.349895
55.0,1242.0,557.0,0.0,1,0.0120281,0.0106567,0.00137141,0.00387923,0.235872,0.0162965,1.4132
55.0,1242.0,557.0,0.0,2,0.0800984,0.0476093,0.0324891,0.0928923,0.95271,0.00161583,0.349879
57.5,1242.0,557.0,0.0,1,0.0120997,0.0107376,0.00136203,0.00385826,0.235738,0.0162645,1.414
57.5,1242.0,557.0,0.0,2,0.0800944,0.0478745,0.0322199,0.0922902,0.95273,0.00161299,0.349872
60.0,1242.0,557.0,0.0,1,0.0121684,0.0108144,0.00135403,0.00384061,0.235599,0.0162318,1.41483
60.0,1242.0,557.0,0.0,2,0.0801303,0.0481318,0.0319986,0.0918041,0.95273,0.00161108,0.349872
0.0,1242.0,557.0,200.0,1,0.00897738,0.0067293,0.00224808,0.00577328,0.237406,0.0173951,1.40406
0.0,1242.0,557.0,200.0,2,0.0717308,0.0260595,0.0456712,0.111287,0.919452,0.00156536,0.362535
0.1,1242.0,557.0,200.0,1,0.00901236,0.00676478,0.00224758,0.00577219,0.237724,0.0175218,1.40219
0.1,1242.0,557.0,200.0,2,0.0739518,0.0287059,0.0452458,0.110307,0.918664,0.00160835,0.362846
0.5,1242.0,557.0,200.0,1,0.0090271,0.00679084,0.00223626,0.00575102,0.23774,0.0175383,1.40209
0.5,1242.0,557.0,200.0,2,0.0751984,0.0297312,0.0454672,0.111336,0.920026,0.00163162,0.362309
1.0,1242.0,557.0,200.0,1,0.00905206,0.00683017,0.0022219,0.00572414,0.237709,0.0175284,1.40227
1.0,1242.0,557.0,200.0,2,0.076376,0.0305587,0.0458173,0.112799,0.921791,0.00165316,0.361615
2.0,1242.0,557.0,200.0,1,0.00912986,0.00693839,0.00219147,0.00566464,0.237662,0.0174871,1.40255
2.0,1242.0,557.0,200.0,2,0.078279,0.0319445,0.0463345,0.115145,0.924907,0.00168719,0.360396
3.0,1242.0,557.0,200.0,1,0.00923015,0.00706988,0.00216027,0.00560189,0.237635,0.0174332,1.40271
3.0,1242.0,557.0,200.0,2,0.079864,0.0331853,0.0466787,0.116944,0.927588,0.00171485,0.359355
4.0,1242.0,557.0,200.0,1,0.00934055,0.00721052,0.00213003,0.00554043,0.237616,0.0173736,1.40282
4.0,1242.0,557.0,200.0,2,0.0811726,0.0342899,0.0468827,0.118297,0.929913,0.00173709,0.358456
5.0,1242.0,557.0,200.0,1,0.00945325,0.00735252,0.00210073,0.00548039,0.2376,0.0173132,1.40292
5.0,1242.0,557.0,200.0,2,0.0822628,0.0352849,0.0469779,0.119301,0.931952,0.00175507,0.357672
6.0,1242.0,557.0,200.0,1,0.00956421,0.00749184,0.00207238,0.00542199,0.237585,0.0172545,1.403
